duration,file_size,durationSecs,rscore,adult,bulk,impostor,lowpriority,malware,mlx,mlxlog,phish,sn,spam,suspect,unknownsender,engine,overall,msgSizeBytes,detectedSizeBytes,sizeDecodedBytes,structureId,rcpts,sender,filter_score,linecount,sizeBytes,size,timeendpos,timestartpos,isPhish
0.192626,1.0,0.192626,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8850.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6555.0,6555.0,3815.0,3784.0,2.0
0.139397,27788.0,0.139397,49.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,41205.0,27788.0,27788.0,0.0,0.0,0.0,100.0,1.0,38876.0,38876.0,5637.0,5606.0,2.0
0.269571,1.0,0.269571,49.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,100.0,78.0,0.0,0.0,20.0,100.0,100.0,7179.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5236.0,5236.0,2969.0,2938.0,2.0
0.19217,1.0,0.19217,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,76.0,0.0,0.0,20.0,100.0,100.0,7224.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5280.0,5280.0,2994.0,2963.0,2.0
0.127624,1.0,0.127624,49.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,100.0,66.0,0.0,0.0,20.0,100.0,100.0,7201.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5256.0,5256.0,3847.0,3816.0,2.0
0.347263,1.0,0.347263,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,98.0,0.0,0.0,20.0,100.0,100.0,7230.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5284.0,5284.0,956.0,925.0,2.0
0.115169,1.0,0.115169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,93.0,0.0,0.0,20.0,100.0,100.0,7226.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5284.0,5284.0,5365.0,5334.0,2.0
0.153405,1.0,0.153405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,19.0,0.0,0.0,20.0,100.0,100.0,8375.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6489.0,6489.0,3145.0,3114.0,2.0
0.337491,1.0,0.337491,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,87.0,0.0,0.0,20.0,100.0,100.0,7257.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5318.0,5318.0,5385.0,5354.0,2.0
0.127403,1.0,0.127403,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,83.0,0.0,0.0,20.0,100.0,100.0,7202.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5262.0,5262.0,1602.0,1571.0,2.0
